stid,timestamp,lat,lon,alt
CEN1,2021-06-12 18:00:00,77.181783,-61.11583,1888.8
CEN2,2024-01-24 07:00:00,77.181949,-61.115757,1892.3
CP1,2024-01-24 07:00:00,69.871508,-47.042603,1945.8
DY2,2024-01-24 07:00:00,66.482497,-46.294339,2122.1
EGP,2024-01-24 00:00:00,75.627443,-35.968725,2663.4
FRE,2024-01-24 00:00:00,74.388037,-20.833139,681.8
HUM,2024-01-24 07:00:00,78.529014,-56.844994,1968.3
JAR,2023-01-26 16:00:00,69.492103,-49.72078,907.7
JAR_O,2024-01-24 07:00:00,69.494378,-49.672386,926.1
KAN_B,2024-01-24 00:00:00,67.1252,-50.1832,350.0
KAN_L,2024-01-24 00:00:00,67.093447,-49.967966,627.9
KAN_Lv3,2024-01-24 07:00:00,67.105,-49.931336,684.5
KAN_M,2024-01-24 00:00:00,67.068207,-48.852538,1271.6
KAN_U,2024-01-24 00:00:00,67.000765,-47.034741,1832.8
KPC_L,2024-01-24 00:00:00,79.910792,-24.0805,360.3
KPC_Lv3,2023-01-08 16:00:00,79.913878,-24.093317,373.4
KPC_U,2024-01-24 00:00:00,79.835138,-25.161461,865.7
KPC_Uv3,2023-01-20 11:00:00,79.834922,-25.162375,866.0
LYN_L,2024-01-24 00:00:00,69.318937,-53.543696,537.0
LYN_T,2024-01-24 00:00:00,69.304267,-53.590172,939.7
MIT,2023-09-01 21:00:00,65.691955,-37.829808,430.2
NAE,2024-01-24 07:00:00,75.002575,-29.979274,2624.1
NAU,2024-01-24 07:00:00,73.840583,-49.534727,2332.4
NEM,2024-01-24 07:00:00,77.441446,-51.084003,2450.9
NSE,2024-01-24 07:00:00,66.47754,-42.493045,2381.6
NUK_B,2024-01-24 07:00:00,64.461444,-50.152738,108.2
NUK_K,2023-12-30 23:00:00,64.162291,-51.358688,698.3
NUK_L,2024-01-24 00:00:00,64.484204,-49.553672,486.6
NUK_N,2014-07-25 11:00:00,64.9452,-49.885,920.0
NUK_U,2023-08-05 20:00:00,64.509097,-49.283506,1115.0
NUK_Uv3,2024-01-24 07:00:00,64.509019,-49.285812,1114.0
QAS_A,2015-08-24 17:00:00,61.243,-46.7328,1000.0
QAS_L,2024-01-23 00:00:00,61.030427,-46.849797,240.1
QAS_Lv3,2024-01-24 07:00:00,61.030654,-46.849498,237.4
QAS_M,2022-12-01 00:00:00,61.109911,-46.808667,678.0
QAS_Mv3,2024-01-24 07:00:00,61.109875,-46.808356,675.2
QAS_U,2023-08-31 15:00:00,61.172265,-46.822545,885.1
QAS_Uv3,2024-01-24 07:00:00,61.172173,-46.822585,882.3
SCO_L,2023-01-13 00:00:00,72.232719,-26.936527,470
SCO_U,2023-01-13 00:00:00,72.424926,-27.481842,980
SDL,2024-01-24 07:00:00,66.000171,-44.502663,2468.3
SDM,2024-01-24 07:00:00,63.148916,-44.817398,2892.8
SWC,2023-02-14 20:00:00,69.552457,-49.37591,1120.0
SWC_O,2024-01-24 07:00:00,69.59443,-49.282673,1158.5
TAS_A,2023-10-09 12:00:00,65.774442,-38.890758,880.3
TAS_L,2024-01-24 00:00:00,65.639177,-38.899164,229.8
TAS_U,2015-08-13 14:00:00,65.6978,-38.8668,570.0
THU_L,2024-01-24 00:00:00,76.399853,-68.26755,559.4
THU_L2,2024-01-24 00:00:00,76.393024,-68.265203,569.6
THU_U2,2023-08-15 17:00:00,76.390204,-68.110534,745.1
TUN,2024-01-24 07:00:00,78.019295,-33.961291,2077.0
UPE_L,2024-01-24 00:00:00,72.893385,-54.295807,198.0
UPE_U,2024-01-23 00:00:00,72.885092,-53.61895,896.2
WEG_B,2024-01-24 07:00:00,71.141463,-51.222054,14.8
WEG_L,2024-01-24 07:00:00,71.204955,-51.098881,933.1
ZAK_A,2023-05-09 10:00:00,74.647558,-21.652047,1484.8
ZAK_L,2023-05-24 09:00:00,74.709165,-30.219014,685.7
ZAK_Lv3,2024-01-24 07:00:00,74.624112,-21.374358,627.0
ZAK_U,2022-05-31 09:00:00,74.624099,-21.374481,630.4
ZAK_Uv3,2024-01-24 07:00:00,74.643273,-21.461341,861.3
Swiss Camp 10m,1990-05-09,69.5556,-49.3647,1138.0
Swiss Camp,1995-01-01,69.5556,-49.3647,1138.0
JAR1,1996-06-19,69.4933,-49.7142,900.0
JAR2,1999-05-30,69.42,-50.0575,568.0
JAR3,2000-05-28,69.3944,-50.31,323.0
Crawford Point 1,1995-05-23,69.8742,-47.0242,2022.0
CP2,1997-05-12,69.9133,-46.8547,1990.0
NASA-U,1995-05-31,73.8407,-49.5265,2369.0
GITS,1995-06-07,77.1378,-61.0411,1887.0
Humboldt,1995-06-22,78.5283,-56.8423,1950.0
Summit,1996-05-13,72.5797,-38.5045,3254.0
Tunu-N,1996-05-16,78.0188,-33.9668,2113.0
DYE-2,1996-05-24,66.482,-46.2908,2165.0
Saddle,1997-04-20,65.9999,-44.5026,2451.0
South Dome,1997-04-23,63.1489,-44.8175,2878.0
NASA-E,1997-05-03,75.0023,-29.9838,2610.0
NASA-SE,1998-04-24,66.4779,-42.4951,2360.0
NGRIP,1997-07-09,75.0998,-42.3326,2950.0
NEEM,2006-03-29,77.4413,-51.0999,2460.0
EastGRIP,2014-05-17,75.6268,-35.9801,2653.0
KAR,1999-05-19,69.6994,-33.0006,2579.0
KULU,1999-06-17,65.7585,-39.6018,878.0
Aurora,2000-06-24,67.1358,-47.2922,
Petermann Glacier,2002-06-04,80.6836,-60.2931,37.0
Petermann ELA,2003-05-23,80.0993,-58.1497,907.0
SMS-PET,2002-06-01,80.6033,-60.0536,54.0
SMS1,2001-01-01,69.4822,-49.8017,822.0
SMS2,2001-01-01,69.4778,-49.8828,727.0
SMS3,2001-01-01,69.4403,-49.9703,605.0
SMS4,2001-01-01,69.4013,-50.2108,387.0
SMS5,2001-01-01,69.5056,-49.9093, 0
Site J,,66.864952,-46.265141,2060
EKT,,66.985405,-44.395081,2355
G1,,69.8765,-47.0102,1997
T5,,69.848017,-47.273583,1932
T4,,69.819983,-47.4505,1877
SW1,,69.800944,-47.567889,1845
